sort,userId,companyNum,healthInsuranceExpense,employeePensionInsuranceExpense,nationalPensionInsuranceExpense,employeeInsuranceExpense,longTermCareInsurance,incomeTax,residenceTax,yearEndAdjustment,notes
1,test,1,11880,21960,,758,,4340,,,
2,test,1,11880,21960,,760,,4340,,,
3,test,1,11880,21960,,750,,4270,,,
4,test,1,11856,21960,,777,,4550,,,
5,test,1,11856,21960,,746,,4200,,,
6,test,1,11856,21960,,742,,4120,8300,,
7,test,1,11856,21960,,750,,4270,7400,,
8,test,1,11856,21960,,750,,4270,7400,,
9,test,1,11856,21960,,801,,4840,7400,,
10,test,1,12844,23790,,750,,4120,7400,,
11,test,1,12844,23790,,750,,4120,7400,,
12,test,1,12844,23790,,757,,4200,7400,,
13,test,2,12844,23790,,736,,4120,7400,-6540,
14,test,2,12844,23790,,736,,4120,7400,,
15,test,2,12844,23790,,736,,4120,7400,,
16,test,2,12883,23790,,741,,4200,7400,,
17,test,2,12883,23790,,736,,4120,7400,,
18,test,2,12883,23790,,736,,4120,8300,,
19,test,2,12883,23790,,812,,5050,8000,,
20,test,2,12883,23790,,805,,5050,8000,,
21,test,2,12883,23790,,833,,5410,8000,,
22,test,2,11892,21960,,805,,5130,8000,,
23,test,2,13874,25620,,805,,4980,8000,,
24,test,2,13874,25620,,789,,4980,8000,,
25,test,2,13874,25620,,772,,5050,8000,-8200,
26,test,2,13874,25620,,769,,4980,8000,,
27,test,2,13874,25620,,807,,5480,8000,,
28,test,2,13902,25620,,779,,5130,8000,,
29,test,2,13902,25620,,930,,6960,8000,,
30,test,2,13902,25620,,873,,6210,8500,,
31,test,2,13902,25620,,876,,6320,8100,,
32,test,2,13902,25620,,1344,,16260,8100,,
33,test,2,13902,25620,,1025,,8040,8100,,
34,test,2,13902,25620,,1310,,15530,8100,,
35,test,2,13902,25620,,1490,,6420,8100,,
36,test,2,13902,25620,,1952,,11610,8100,,
37,test,2,13902,25620,,1452,,6210,8100,-19290,
38,test,2,13902,25620,,1400,,6210,8100,,
39,test,2,13902,25620,,1400,,6210,8100,,
40,test,3,11900,25620,,1368,,5990,,,15510
41,test,3,11900,25620,,1932,,7710,,,30050
42,test,3,11900,25620,,1662,,6110,,,30050
43,test,3,11900,25620,,1733,,6530,,,30050
44,test,3,11900,25620,,1733,,6530,,,30050
45,test,3,11900,25620,,2051,,8670,,,30050
46,test,3,12750,27450,,1663,,5990,,,30050
47,test,3,12750,27450,,1662,,5990,,,30050
48,test,3,12750,27450,,1662,,5990,,,30050
